hosts threads instance probability runtime totalspawns
1 16 47 10000000 nan nan
1 16 47 1000000 nan nan
1 16 47 100000 nan nan
1 16 47 10000 nan nan
1 2 47 10000000 nan nan
1 2 47 1000000 nan nan
1 2 47 100000 nan nan
1 2 47 10000 nan nan
4 16 47 10000000 nan nan
4 16 47 1000000 nan nan
4 16 47 100000 nan nan
4 16 47 10000 nan nan
4 16 47 10000000 nan nan
4 16 47 1000000 nan nan
4 16 47 100000 nan nan
4 16 47 10000 nan nan
4 16 47 10000000 nan nan
4 16 47 1000000 nan nan
4 16 47 100000 nan nan
4 16 47 10000 nan nan
8 16 47 10000000 nan nan
8 16 47 1000000 nan nan
8 16 47 100000 nan nan
8 16 47 10000 nan nan
8 16 47 10000000 nan nan
8 16 47 1000000 nan nan
8 16 47 100000 nan nan
8 16 47 10000 nan nan
8 16 47 10000000 nan nan
8 16 47 1000000 nan nan
8 16 47 100000 nan nan
8 16 47 10000 nan nan
17 16 47 10000000 3199636 34609
17 16 47 1000000 2050346 296340
17 16 47 100000 1947865 2436532
17 16 47 10000 1949694 19483876
17 16 47 10000000 3051189 33514
17 16 47 1000000 2041213 293650
17 16 47 100000 1961676 2432128
17 16 47 10000 1946516 19488881
17 16 47 10000000 nan nan
17 16 47 1000000 2052015 298097
17 16 47 100000 1943277 2436225
17 16 47 10000 1942890 19489800
1 16 47 10000000 nan nan
1 16 47 1000000 nan nan
1 16 47 100000 nan nan
1 16 47 10000 nan nan
1 2 47 10000000 nan nan
1 2 47 1000000 nan nan
1 2 47 100000 nan nan
1 2 47 10000 nan nan
1 16 47 10000000 nan nan
1 16 47 1000000 nan nan
1 16 47 100000 nan nan
1 16 47 10000 nan nan
1 2 47 10000000 nan nan
1 2 47 1000000 nan nan
1 2 47 100000 nan nan
1 2 47 10000 nan nan
