hosts threads instance probability runtime totalspawns
1 2 brock400_1 10000 nan nan
1 2 brock400_1 100000 4944828 163351
1 2 brock400_2 1000000 542767 11398
1 16 brock400_1 10000 6685928 1237170
1 16 brock400_1 100000 1116915 175410
1 16 brock400_1 1000000 482548 24090
1 16 brock400_1 10000000 462294 3184
1 2 brock400_2 10000 nan nan
1 2 brock400_2 100000 3696448 122869
1 2 brock400_2 1000000 709403 14046
1 2 brock400_2 10000000 323286 1031
1 16 brock400_2 10000 3494231 649680
1 16 brock400_2 100000 581680 91328
1 2 brock400_2 10000000 414645 2798
1 16 brock400_2 1000000 321820 16265
1 16 brock400_2 10000000 177349 1467
1 2 brock400_3 10000 nan nan
1 2 brock400_3 100000 2922342 98933
1 2 brock400_3 1000000 373655 7147
1 2 brock400_3 10000000 436817 1736
1 16 brock400_3 10000 1978889 367589
1 16 brock400_3 100000 210039 32276
1 16 brock400_3 1000000 114339 6333
1 16 brock400_3 10000000 206657 1589
1 16 brock400_2 10000 3289781 617548
1 2 brock800_3 10000 nan nan
1 2 brock800_3 100000 nan nan
1 2 brock800_3 1000000 nan nan
1 2 brock800_3 10000000 6345950 38155
1 16 brock800_3 10000 nan nan
1 16 brock800_3 100000 nan nan
1 16 brock800_3 1000000 4318282 260275
1 16 brock800_3 10000000 3946517 31878
1 2 brock800_4 10000 nan nan
1 2 brock800_4 100000 nan nan
1 16 brock400_2 100000 405035 64622
1 2 brock800_4 1000000 4640423 100853
1 2 brock800_4 10000000 2261665 14643
1 16 brock800_4 10000 nan nan
1 16 brock800_4 100000 6665396 1084710
1 16 brock800_4 1000000 1356060 97017
1 16 brock800_4 10000000 1477260 12603
1 16 brock400_2 1000000 190237 11288
4 16 brock400_1 10000 2278001 1696907
4 16 brock400_1 100000 313904 190479
4 16 brock400_1 1000000 82247 14591
4 16 brock400_1 10000000 136955 2021
4 16 brock400_2 10000 1457329 1080161
4 16 brock400_2 100000 160922 98627
1 16 brock400_2 10000000 223352 1873
4 16 brock400_2 1000000 101382 18542
4 16 brock400_2 10000000 84119 935
4 16 brock400_3 10000 467965 349901
4 16 brock400_3 100000 188597 117768
4 16 brock400_3 1000000 46160 10054
4 16 brock400_3 10000000 136474 1163
4 16 brock800_3 10000 nan nan
4 16 brock800_3 100000 2345268 1504097
4 16 brock800_3 1000000 476780 128728
4 16 brock800_3 10000000 587543 16416
1 2 brock400_3 10000 nan nan
4 16 brock800_4 10000 nan nan
4 16 brock800_4 100000 3038593 1984709
4 16 brock800_4 1000000 458003 118012
4 16 brock800_4 10000000 411014 15697
4 16 brock400_1 10000 2241291 1651149
4 16 brock400_1 100000 177558 105079
1 2 brock400_3 100000 2971672 100869
4 16 brock400_1 1000000 72092 13226
4 16 brock400_1 10000000 136791 1899
4 16 brock400_2 10000 779541 582814
4 16 brock400_2 100000 148605 91618
4 16 brock400_2 1000000 92408 14298
4 16 brock400_2 10000000 87059 1695
4 16 brock400_3 10000 450257 337245
4 16 brock400_3 100000 100779 61618
4 16 brock400_3 1000000 62873 9806
4 16 brock400_3 10000000 50278 400
1 2 brock400_3 1000000 619510 12855
4 16 brock800_3 10000 nan nan
4 16 brock800_3 100000 3156582 2030661
4 16 brock800_3 1000000 472175 124743
4 16 brock800_3 10000000 664777 20168
4 16 brock800_4 10000 nan nan
4 16 brock800_4 100000 1329335 864021
4 16 brock800_4 1000000 435452 108663
4 16 brock800_4 10000000 565075 13821
1 2 brock400_3 10000000 443116 2995
4 16 brock400_1 10000 1213692 902432
4 16 brock400_1 100000 175787 104207
4 16 brock400_1 1000000 75095 13598
4 16 brock400_1 10000000 140019 2203
4 16 brock400_2 10000 913337 686103
4 16 brock400_2 100000 138093 82662
4 16 brock400_2 1000000 90459 18409
4 16 brock400_2 10000000 81606 953
1 2 brock400_1 1000000 814184 15825
1 16 brock400_3 10000 3100937 582103
4 16 brock400_3 10000 310582 232590
4 16 brock400_3 100000 96982 57366
4 16 brock400_3 1000000 38514 6507
4 16 brock400_3 10000000 165178 1464
4 16 brock800_3 10000 nan nan
4 16 brock800_3 100000 1384452 894381
4 16 brock800_3 1000000 453336 113988
4 16 brock800_3 10000000 465283 16688
4 16 brock800_4 10000 nan nan
4 16 brock800_4 100000 3152626 2056399
1 16 brock400_3 100000 491669 77037
4 16 brock800_4 1000000 407131 98405
4 16 brock800_4 10000000 521967 18691
8 16 brock400_1 10000 687000 1022941
8 16 brock400_1 100000 93278 112944
8 16 brock400_1 1000000 54300 13868
8 16 brock400_1 10000000 83640 2813
1 16 brock400_3 1000000 199521 8265
8 16 brock400_2 10000 457466 677918
8 16 brock400_2 100000 68001 81175
8 16 brock400_2 1000000 49430 15680
8 16 brock400_2 10000000 84139 2189
8 16 brock400_3 10000 268113 391998
8 16 brock400_3 100000 66148 78154
8 16 brock400_3 1000000 16049 2448
8 16 brock400_3 10000000 41386 1722
8 16 brock800_3 10000 4742032 7037119
8 16 brock800_3 100000 729730 918704
1 16 brock400_3 10000000 177632 926
8 16 brock800_3 1000000 261417 129048
8 16 brock800_3 10000000 234625 10579
8 16 brock800_4 10000 3855376 5686605
8 16 brock800_4 100000 822128 1054187
8 16 brock800_4 1000000 415189 188345
8 16 brock800_4 10000000 381519 13686
1 2 brock800_3 10000 nan nan
8 16 brock400_1 10000 767350 1132123
8 16 brock400_1 100000 100963 123551
8 16 brock400_1 1000000 64551 17206
8 16 brock400_1 10000000 136763 2382
8 16 brock400_2 10000 942757 1384618
8 16 brock400_2 100000 90668 105008
8 16 brock400_2 1000000 66410 14932
8 16 brock400_2 10000000 163635 1440
8 16 brock400_3 10000 664200 982821
8 16 brock400_3 100000 93584 110885
1 2 brock800_3 100000 nan nan
8 16 brock400_3 1000000 31326 6981
8 16 brock400_3 10000000 69240 2683
8 16 brock800_3 10000 6778285 10058550
8 16 brock800_3 100000 936816 1193969
8 16 brock800_3 1000000 250211 118261
8 16 brock800_3 10000000 423502 19267
8 16 brock800_4 10000 4206037 6163340
8 16 brock800_4 100000 698374 889570
8 16 brock800_4 1000000 201592 99366
8 16 brock800_4 10000000 242172 14299
1 2 brock800_3 1000000 nan nan
8 16 brock400_1 10000 592711 862930
8 16 brock400_1 100000 118333 137157
8 16 brock400_1 1000000 55081 14950
8 16 brock400_1 10000000 139346 3662
8 16 brock400_2 10000 558489 822804
8 16 brock400_2 100000 58355 67170
1 2 brock800_3 10000000 4520370 25527
8 16 brock400_2 1000000 44275 14546
8 16 brock400_2 10000000 92186 3073
8 16 brock400_3 10000 311649 453392
8 16 brock400_3 100000 97335 112967
8 16 brock400_3 1000000 25662 8029
8 16 brock400_3 10000000 144227 2400
8 16 brock800_3 10000 4806508 7088787
8 16 brock800_3 100000 1171314 1484957
8 16 brock800_3 1000000 259084 123246
8 16 brock800_3 10000000 403765 23883
1 16 brock800_3 10000 nan nan
8 16 brock800_4 10000 nan nan
8 16 brock800_4 100000 595820 743945
8 16 brock800_4 1000000 318414 153487
8 16 brock800_4 10000000 336395 18580
17 16 brock400_1 10000 358553 1085706
17 16 brock400_1 100000 56885 134143
1 16 brock800_3 100000 nan nan
17 16 brock400_1 1000000 52952 12634
17 16 brock400_1 10000000 112827 1839
17 16 brock400_2 10000 213461 645437
17 16 brock400_2 100000 33955 79838
17 16 brock400_2 1000000 41044 17553
17 16 brock400_2 10000000 199970 1757
17 16 brock400_3 10000 92904 275831
