hosts threads instance probability runtime totalspawns
1 2 47 10000 nan nan
1 2 47 100000 5184941 2451050
1 2 47 1000000 4513804 292574
17 16 47 10000 1971312 19499382
17 16 47 100000 1967436 2433695
17 16 47 1000000 2090233 298769
17 16 47 10000000 3544321 34037
17 16 47 10000 1979724 19489070
17 16 47 100000 1965488 2432536
17 16 47 1000000 2148492 296096
17 16 47 10000000 3056961 32644
17 16 47 10000 1961128 19473150
17 16 47 100000 1987025 2432495
1 2 47 10000000 4389970 32592
17 16 47 1000000 2095816 294050
17 16 47 10000000 3134287 34068
17 16 47 10000 1980500 19491500
17 16 47 100000 1965385 2442999
17 16 47 1000000 2113156 296303
17 16 47 10000000 3200491 34306
17 16 47 10000 1972160 19483160
17 16 47 100000 1992394 2437524
17 16 47 1000000 2175895 296275
17 16 47 10000000 3776557 34293
1 16 47 10000 nan nan
1 16 47 100000 nan nan
1 16 47 1000000 nan nan
1 16 47 10000000 nan nan
1 2 47 10000 nan nan
1 2 47 100000 5212676 2449230
1 2 47 1000000 4538144 292624
1 2 47 10000000 4392576 31430
1 2 47 1000000 4494431 293266
1 16 47 10000 nan nan
1 16 47 100000 nan nan
1 16 47 1000000 nan nan
1 16 47 10000000 nan nan
1 2 47 10000 nan nan
1 2 47 100000 5114410 2445680
1 2 47 1000000 4496604 287681
1 2 47 10000000 4401873 33883
1 16 47 10000 nan nan
1 16 47 100000 nan nan
1 2 47 10000000 4417445 32169
1 16 47 1000000 nan nan
1 16 47 10000000 nan nan
1 2 47 10000 nan nan
1 2 47 100000 5188178 2445690
1 2 47 1000000 4513469 291546
1 2 47 10000000 4423975 32795
1 16 47 10000 nan nan
1 16 47 100000 nan nan
1 16 47 1000000 nan nan
1 16 47 10000000 nan nan
1 16 47 10000 nan nan
1 2 47 10000 nan nan
1 2 47 100000 5139444 2441700
1 2 47 1000000 4526586 284942
1 2 47 10000000 4429114 33510
1 16 47 10000 nan nan
1 16 47 100000 nan nan
1 16 47 1000000 nan nan
1 16 47 10000000 nan nan
4 16 47 10000 nan nan
4 16 47 100000 nan nan
1 16 47 100000 nan nan
4 16 47 1000000 nan nan
4 16 47 10000000 nan nan
4 16 47 10000 nan nan
4 16 47 100000 nan nan
4 16 47 1000000 nan nan
4 16 47 10000000 nan nan
4 16 47 10000 nan nan
4 16 47 100000 nan nan
4 16 47 1000000 nan nan
4 16 47 10000000 nan nan
1 16 47 1000000 nan nan
4 16 47 10000 nan nan
4 16 47 100000 nan nan
4 16 47 1000000 nan nan
4 16 47 10000000 nan nan
4 16 47 10000 nan nan
4 16 47 100000 nan nan
4 16 47 1000000 nan nan
4 16 47 10000000 nan nan
4 16 47 10000 nan nan
4 16 47 100000 nan nan
1 16 47 10000000 nan nan
4 16 47 1000000 nan nan
4 16 47 10000000 nan nan
8 16 47 10000 4154330 19472220
8 16 47 100000 4135512 2441029
8 16 47 1000000 4258130 288673
8 16 47 10000000 5452999 34206
8 16 47 10000 4225590 19482760
8 16 47 100000 4218358 2442320
8 16 47 1000000 4227961 289494
8 16 47 10000000 5101176 33716
1 2 47 10000 nan nan
8 16 47 10000 4147224 19480800
8 16 47 100000 4134169 2431508
8 16 47 1000000 4268683 288292
8 16 47 10000000 5158306 35255
8 16 47 10000 4216810 19471720
8 16 47 100000 4201516 2443792
8 16 47 1000000 4294058 286686
8 16 47 10000000 4981111 33847
8 16 47 10000 4115327 19486780
8 16 47 100000 4136582 2444661
1 2 47 100000 5146590 2444260
8 16 47 1000000 4325847 289430
8 16 47 10000000 4974061 33623
8 16 47 10000 4206526 19472530
8 16 47 100000 4157751 2431552
8 16 47 1000000 4243259 289178
8 16 47 10000000 5139938 34166
17 16 47 10000 1985864 19483520
17 16 47 100000 1980299 2438557
17 16 47 1000000 2070848 297524
17 16 47 10000000 3285377 33624
